owner,repo,filename,path
SMBC-NZP,MigConnectivity,NAMESPACE,NAMESPACE
kbenoit,quanteda,NAMESPACE,NAMESPACE
rickysarraf,linux,namespace.pl,scripts/namespace.pl
rickysarraf,linux,namespace.c,fs/namespace.c
rickysarraf,linux,namespace_devs.c,drivers/nvdimm/namespace_devs.c
nsj3,darleq3,NAMESPACE,NAMESPACE
animalcreek,linux-trf7970a,namespace.pl,scripts/namespace.pl
animalcreek,linux-trf7970a,net_namespace.c,net/core/net_namespace.c
animalcreek,linux-trf7970a,namespace.c,fs/namespace.c
animalcreek,linux-trf7970a,namespace_devs.c,drivers/nvdimm/namespace_devs.c
surajdazz,android_kernel_zuk_msm8996,pid_namespace.c,kernel/pid_namespace.c
surajdazz,android_kernel_zuk_msm8996,namespace.c,fs/namespace.c
statnet,ergm.ego,NAMESPACE,NAMESPACE
talegari,sidekicks,NAMESPACE,NAMESPACE
PingYangChen,DiscrimOD,NAMESPACE,NAMESPACE
surajdazz,android_kernel_zuk_msm8996,namespace.pl,scripts/namespace.pl
surajdazz,android_kernel_zuk_msm8996,net_namespace.c,net/core/net_namespace.c
surajdazz,android_kernel_zuk_msm8996,user_namespace.c,kernel/user_namespace.c
surajdazz,android_kernel_zuk_msm8996,namespace.c,fs/nfs/namespace.c
swihart,libstableR,NAMESPACE,NAMESPACE
google,flatbuffers,namespace_test2_generated.ts,tests/namespace_test/namespace_test2_generated.ts
ianmoran11,ttsready,NAMESPACE,NAMESPACE
asdfree,nhis,NAMESPACE,NAMESPACE
bomin8319,BayesOFsurv,NAMESPACE,pkg/NAMESPACE
lbenitesanchez,ALDqr,NAMESPACE,NAMESPACE
Malaokia,L4T_4.4,namespace.pl,scripts/namespace.pl
Malaokia,L4T_4.4,net_namespace.c,net/core/net_namespace.c
Malaokia,L4T_4.4,user_namespace.c,kernel/user_namespace.c
Malaokia,L4T_4.4,pid_namespace.c,kernel/pid_namespace.c
Malaokia,L4T_4.4,namespace.c,fs/nfs/namespace.c
Malaokia,L4T_4.4,namespace.c,fs/namespace.c
Malaokia,L4T_4.4,namespace_devs.c,drivers/nvdimm/namespace_devs.c
yanxianUCSB,yxplot,NAMESPACE,NAMESPACE
vladimirs77,kernel_mt6735,namespace.pl,scripts/namespace.pl
vladimirs77,kernel_mt6735,net_namespace.c,net/core/net_namespace.c
vladimirs77,kernel_mt6735,user_namespace.c,kernel/user_namespace.c
vladimirs77,kernel_mt6735,pid_namespace.c,kernel/pid_namespace.c
vladimirs77,kernel_mt6735,namespace.c,fs/nfs/namespace.c
vladimirs77,kernel_mt6735,namespace.c,fs/namespace.c
llvm-project,llvm-project-phab,debug-info-namespace.cpp,clang/test/CodeGenCXX/debug-info-namespace.cpp
RBigData,remoter,NAMESPACE,NAMESPACE
SerenityS,android_kernel_lge_f70n,namespace.pl,scripts/namespace.pl
SerenityS,android_kernel_lge_f70n,net_namespace.c,net/core/net_namespace.c
SerenityS,android_kernel_lge_f70n,user_namespace.c,kernel/user_namespace.c
YiLiu6240,yxlR,NAMESPACE,NAMESPACE
NATH27,openrex-linux-3.14,namespace.pl,scripts/namespace.pl
NATH27,openrex-linux-3.14,net_namespace.c,net/core/net_namespace.c
NATH27,openrex-linux-3.14,user_namespace.c,kernel/user_namespace.c
NATH27,openrex-linux-3.14,pid_namespace.c,kernel/pid_namespace.c
NATH27,openrex-linux-3.14,namespace.c,fs/nfs/namespace.c
