owner,repo,filename,path
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/whisker/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/testthat/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/swirl/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/xml2/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/yaml/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/scales/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/stringr/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/stringi/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/rstudioapi/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/sqldf/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/rversions/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/roxygen2/NAMESPACE
Bertrand0001,datasciencecoursera,namespace.Rmd,RProjects/win-library/3.2/roxygen2/doc/namespace.Rmd
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/proto/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/munsell/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/magrittr/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/plyr/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/lubridate/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/mime/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/memoise/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/rjson/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/praise/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/reshape2/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/labeling/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/gsubfn/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/httr/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/git2r/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/gtable/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/jsonlite/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/lazyeval/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/ggplot2/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/evaluate/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/crayon/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/dichromat/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/devtools/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/curl/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/dplyr/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/colorspace/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/digest/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/chron/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/assertthat/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/brew/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/Rcpp/unitTests/testRcppModule/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/Rcpp/unitTests/testRcppClass/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/bitops/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/RSQLite/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/Rcpp/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/RJSONIO/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/RCurl/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/RColorBrewer/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/DBI/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/R6/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/KernSmooth/NAMESPACE
Bertrand0001,datasciencecoursera,NAMESPACE,RProjects/win-library/3.2/BH/NAMESPACE
