owner,repo,filename,path
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googleproximitybeaconv1beta1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlepredictionv14.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlepredictionv16.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlepredictionv12.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlepredictionv15.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlepredictionv13.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlepubsubv1beta2.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlepartnersv2.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googleplusDomainsv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googleplusv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlepagespeedonlinev1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlepagespeedonlinev2.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googleoauth2v1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlemirrorv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googleoauth2v2.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlemonitoringv3.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlelicensingv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlekgsearchv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlegroupssettingsv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlegroupsmigrationv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlegamesv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlefusiontablesv2.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlefusiontablesv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlegamesConfigurationv1configuration.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlefitnessv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlefirebaserulesv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlegamesManagementv1management.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googledoubleclicksearchv2.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlednsv2beta1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlednsv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googlediscoveryv1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googledfareportingv26.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googledatastorev1beta2.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googledatastorev1beta1.auto/NAMESPACE
MarkEdmondson1234,autoGoogleAPI,NAMESPACE,googledatastorev1.auto/NAMESPACE
