owner,repo,filename,path
narjisse-tabout,devtools-R-Forge,test-namespace.r,devtoolsVersion/devtools 13/inst/tests/test-namespace.r
narjisse-tabout,devtools-R-Forge,namespace-env.r,devtoolsVersion/devtools 12/R/namespace-env.r
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 11/NAMESPACE
narjisse-tabout,devtools-R-Forge,namespace-env.r,devtoolsVersion/devtools 11/R/namespace-env.r
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 10/inst/tests/check-extrafile/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 10/inst/tests/depend-version/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 11/inst/tests/check-extrafile/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 11/inst/tests/import-version/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 12/inst/tests/testCheckExtrafile/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 12/inst/tests/testImportVersion/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 13/inst/tests/testCheckExtrafile/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 13/inst/tests/testImportVersion/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 14/tests/testthat/testCheckExtrafile/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 14/tests/testthat/testImportVersion/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 15/tests/testthat/testCheckExtrafile/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 15/tests/testthat/testImportVersion/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 16/tests/testthat/testCheckExtrafile/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 16/tests/testthat/testImportVersion/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 17/tests/testthat/testCheckExtrafile/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 17/tests/testthat/testImportVersion/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 18/tests/testthat/testCheckExtrafile/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 18/tests/testthat/testImportVersion/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 19/tests/testthat/testCheckExtrafile/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 19/tests/testthat/testImportVersion/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 10/inst/tests/dll-load/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 11/inst/tests/dll-load/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 10/inst/tests/namespace/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 11/inst/tests/namespace/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 12/inst/tests/testNamespace/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 13/inst/tests/testNamespace/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 14/tests/testthat/testNamespace/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 15/tests/testthat/testNamespace/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 16/tests/testthat/testNamespace/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 17/tests/testthat/testNamespace/NAMESPACE
narjisse-tabout,devtools-R-Forge,test-namespace.r,devtoolsVersion/devtools 10/inst/tests/test-namespace.r
narjisse-tabout,devtools-R-Forge,test-namespace.r,devtoolsVersion/devtools 11/inst/tests/test-namespace.r
narjisse-tabout,devtools-R-Forge,namespace-env.r,devtoolsVersion/devtools 10/R/namespace-env.r
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 1/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 2/NAMESPACE
narjisse-tabout,devtools-R-Forge,NAMESPACE,devtoolsVersion/devtools 10/NAMESPACE
