owner,repo,filename,path
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/xlsxjars/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/xts/api_example/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/xml2/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/xts/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/yaml/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/zoo/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/whisker/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/testthat/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/xlsx/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/tidyr/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/tensor/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/swirl/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/stringr/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/stringi/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/sqldf/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/spatstat/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/rstudioapi/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/rversions/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/roxygen2/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,namespace.Rmd,R/win-library/3.2/roxygen2/doc/namespace.Rmd
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/rmarkdown/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/rJava/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/quantmod/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/proto/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/magrittr/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/markdown/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/lubridate/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/mime/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/memoise/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/praise/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/polyclip/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/lazyeval/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/knitr/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/highr/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/httr/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/htmltools/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/httpuv/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/jpeg/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/jsonlite/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/formatR/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/gsubfn/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/git2r/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/evaluate/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/goftest/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/devtools/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/deldir/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/dplyr/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/digest/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/assertthat/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/crayon/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/brew/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/caTools/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/curl/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/data.table/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/bitops/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/chron/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/XML/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/abind/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/TTR/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/Rcpp/unitTests/testRcppModule/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/Rcpp/unitTests/testRcppClass/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/RCurl/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/RSQLite/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/Rcpp/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/R6/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/KernSmooth/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/DBI/NAMESPACE
piscean388,Getting-And-Cleaning-Data-Project,NAMESPACE,R/win-library/3.2/BH/NAMESPACE
