owner,repo,filename,path
proper337,dotfiles,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/RCurl/NAMESPACE
proper337,dotfiles,NAMESPACE,R/packages-src/QuantPsyc/NAMESPACE
proper337,dotfiles,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/QuantPsyc/NAMESPACE
proper337,dotfiles,NAMESPACE,.emacs.d/elpa/ess-20131027.2006/etc/ESSR/NAMESPACE
proper337,dotfiles,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/ESSR/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/scales/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/sqldf/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/sm/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/reshape/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/reshape2/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/psych/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/plyr/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/ggplot2/test_ns/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/gsubfn/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/lsr/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/dichromat/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/downloader/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/ggplot2/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/digest/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/Rcpp/unitTests/testRcppModule/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/Rcpp/unitTests/testRcppClass/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/colorspace/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/bitops/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/chron/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/car/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/Rcpp/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/RCurl/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/RSQLite.extfuns/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/RSQLite/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/ESSR/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/RColorBrewer/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/DBI/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/stringr/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/stringr/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/whisker/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/tree/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/sos/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/zoo/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/scales/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/sandwich/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/sm/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/proto/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/proto/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/reshape/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/reshape2/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/prodlim/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/randomForest/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/rgl/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/psych/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/labeling/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/labeling/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/munsell/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/munsell/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/plyr/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/markdown/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/medley/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/plotflow/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/memoise/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/leaps/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/multilevel/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/lsr/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/knitr/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/httr/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/highr/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/gridExtra/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/impute/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/gtable/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-redhat-linux-gnu-library/3.0/gtable/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/kernlab/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/ipred/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/ggplot2/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/car/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/ElemStatLearn/NAMESPACE
proper337,env,NAMESPACE,R/x86_64-pc-linux-gnu-library/3.0/BiocInstaller/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/stringr/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/whisker/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/sqldf/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/zoo/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/sos/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/scales/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/sandwich/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/sm/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/reshape/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/reshape2/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/rgl/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/psych/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/plyr/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/prodlim/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/munsell/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/markdown/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/memoise/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/multilevel/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/labeling/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/lsr/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/knitr/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/httr/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/kernlab/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/ipred/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/highr/NAMESPACE
proper337,env,NAMESPACE,R/packages-src/gtable/NAMESPACE
