owner,repo,filename,path
ropensci,finch,NAMESPACE,NAMESPACE
ropensci,pangaear,NAMESPACE,NAMESPACE
ropensci,isdparser,NAMESPACE,NAMESPACE
ropensci,pleiades,NAMESPACE,NAMESPACE
ropensci,natserv,NAMESPACE,NAMESPACE
ropensci,clifro,NAMESPACE,NAMESPACE
ropensci,jsonld,NAMESPACE,NAMESPACE
ropensci,internetarchive,NAMESPACE,NAMESPACE
ropensci,oai,NAMESPACE,NAMESPACE
ropensci,tesseract,NAMESPACE,NAMESPACE
ropensci,rsnps,NAMESPACE,NAMESPACE
ropensci,geojson,NAMESPACE,NAMESPACE
ropensci,rdryad,NAMESPACE,NAMESPACE
ropensci,agent,NAMESPACE,NAMESPACE
ropensci,sofa,NAMESPACE,NAMESPACE
ropensci,ghql,NAMESPACE,NAMESPACE
ropensci,graphql,NAMESPACE,NAMESPACE
ropensci,rdpla,NAMESPACE,NAMESPACE
ropensci,brranching,NAMESPACE,NAMESPACE
ropensci,geoparser,NAMESPACE,NAMESPACE
ropensci,tabulizer,NAMESPACE,NAMESPACE
ropensci,riem,NAMESPACE,NAMESPACE
ropensci,geojsonlint,NAMESPACE,NAMESPACE
ropensci,jsonvalidate,NAMESPACE,NAMESPACE
ropensci,hunspell,NAMESPACE,NAMESPACE
ropensci,rdefra,NAMESPACE,NAMESPACE
ropensci,originr,NAMESPACE,NAMESPACE
ropensci,rusda,NAMESPACE,NAMESPACE
ropensci,rostats,NAMESPACE,NAMESPACE
ropensci,spsqlite,NAMESPACE,NAMESPACE
ropensci,spsqlite,NAMESPACE,orphaned/NAMESPACE
ropensci,ezknitr,NAMESPACE,NAMESPACE
ropensci,RedisAPI,NAMESPACE,NAMESPACE
ropensci,opencontext,NAMESPACE,NAMESPACE
ropensci,ro,NAMESPACE,NAMESPACE
ropensci,textreuse,NAMESPACE,NAMESPACE
ropensci,rchie,NAMESPACE,NAMESPACE
ropensci,proj,NAMESPACE,NAMESPACE
ropensci,elasticdsl,NAMESPACE,NAMESPACE
ropensci,etseed,NAMESPACE,NAMESPACE
ropensci,wellknown,NAMESPACE,NAMESPACE
ropensci,helminthR,NAMESPACE,NAMESPACE
ropensci,docplyr,NAMESPACE,NAMESPACE
ropensci,hathi,NAMESPACE,NAMESPACE
ropensci,vcr,NAMESPACE,NAMESPACE
ropensci,ropkgs,NAMESPACE,NAMESPACE
ropensci,RStars,NAMESPACE,NAMESPACE
ropensci,chromer,NAMESPACE,NAMESPACE
ropensci,taxizesoap,NAMESPACE,NAMESPACE
ropensci,rGEM,NAMESPACE,NAMESPACE
ropensci,musemeta,NAMESPACE,NAMESPACE
ropensci,reuropeana,NAMESPACE,NAMESPACE
ropensci,IEEER,NAMESPACE,NAMESPACE
ropensci,ots,NAMESPACE,NAMESPACE
ropensci,ggit,NAMESPACE,NAMESPACE
ropensci,rpwt,NAMESPACE,NAMESPACE
ropensci,mdextract,NAMESPACE,NAMESPACE
ropensci,gigadb,NAMESPACE,NAMESPACE
ropensci,mocking,NAMESPACE,NAMESPACE
ropensci,RCryptsy,NAMESPACE,NAMESPACE
ropensci,rdopa,NAMESPACE,NAMESPACE
ropensci,geonames,NAMESPACE,NAMESPACE
ropensci,rglobi,NAMESPACE,NAMESPACE
ropensci,dependencies,NAMESPACE,NAMESPACE
ropensci,bmc,NAMESPACE,NAMESPACE
ropensci,zenodo,NAMESPACE,NAMESPACE
ropensci,sheetseeR,NAMESPACE,NAMESPACE
ropensci,aRxiv,NAMESPACE,NAMESPACE
ropensci,gender,NAMESPACE,NAMESPACE
ropensci,rdat,NAMESPACE,NAMESPACE
ropensci,paleobioDB,NAMESPACE,NAMESPACE
ropensci,git2r,NAMESPACE,NAMESPACE
ropensci,AntWeb,NAMESPACE,NAMESPACE
ropensci,defunct-obis,NAMESPACE,NAMESPACE
ropensci,mocker,NAMESPACE,NAMESPACE
ropensci,testdat,NAMESPACE,NAMESPACE
ropensci,rgpdd,NAMESPACE,NAMESPACE
ropensci,RNeXML,NAMESPACE,NAMESPACE
ropensci,gitr,NAMESPACE,NAMESPACE
ropensci,dvn,NAMESPACE,NAMESPACE
ropensci,alm,NAMESPACE,NAMESPACE
ropensci,rWBclimate,NAMESPACE,NAMESPACE
ropensci,elife,NAMESPACE,NAMESPACE
ropensci,rImpactStory,NAMESPACE,NAMESPACE
ropensci,rmetadata,NAMESPACE,NAMESPACE
ropensci,rpmc,NAMESPACE,NAMESPACE
ropensci,rhindawi,NAMESPACE,NAMESPACE
ropensci,rpensoft,NAMESPACE,NAMESPACE
ropensci,rentrez,NAMESPACE,NAMESPACE
ropensci,sandbox,NAMESPACE,NAMESPACE
ropensci,rebird,NAMESPACE,NAMESPACE
ropensci,ropensciToolkit,NAMESPACE,NAMESPACE
ropensci,citeulike,NAMESPACE,NAMESPACE
ropensci,rgauges,NAMESPACE,NAMESPACE
ropensci,floras,NAMESPACE,NAMESPACE
ropensci,rOpenSci,NAMESPACE,NAMESPACE
ropensci,ritis,NAMESPACE,NAMESPACE
ropensci,rfisheries,NAMESPACE,NAMESPACE
ropensci,rdatacite,NAMESPACE,NAMESPACE
ropensci,rzmq,NAMESPACE,NAMESPACE
