owner,repo,filename,path
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/yaml/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/whisker/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/scales/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/rstudioapi/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/stringr/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/stringi/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/xml2/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/rversions/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/roxygen2/NAMESPACE
slipher1,datasciencecoursera,namespace.Rmd,win-library/3.2/roxygen2/doc/namespace.Rmd
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/proto/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/labeling/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/magrittr/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/rmarkdown/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/plyr/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/markdown/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/mime/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/memoise/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/reshape2/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/knitr/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/highr/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/httr/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/htmltools/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/git2r/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/ggplot2/test_ns/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/gtable/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/jsonlite/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/formatR/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/dichromat/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/devtools/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/evaluate/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/ggplot2/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/caTools/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/curl/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/colorspace/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/digest/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/brew/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/Rcpp/unitTests/testRcppClass/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/Rcpp/unitTests/testRcppModule/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/bitops/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/RCurl/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/Rcpp/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/RColorBrewer/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/R6/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/KernSmooth/NAMESPACE
slipher1,datasciencecoursera,NAMESPACE,win-library/3.2/BH/NAMESPACE
