owner,repo,filename,path
trinker,sentimentr,NAMESPACE,NAMESPACE
trinker,termco,NAMESPACE,NAMESPACE
trinker,qdap,NAMESPACE,NAMESPACE
trinker,qdapTools,NAMESPACE,NAMESPACE
trinker,textplot,NAMESPACE,NAMESPACE
trinker,textreadr,NAMESPACE,NAMESPACE
trinker,testdt,NAMESPACE,NAMESPACE
trinker,textshape,NAMESPACE,NAMESPACE
trinker,textclean,NAMESPACE,NAMESPACE
trinker,stansent,NAMESPACE,NAMESPACE
trinker,parsent,NAMESPACE,NAMESPACE
trinker,tagger,NAMESPACE,NAMESPACE
trinker,coreNLPsetup,NAMESPACE,NAMESPACE
trinker,lexr,NAMESPACE,NAMESPACE
trinker,formality,NAMESPACE,NAMESPACE
trinker,entity,NAMESPACE,NAMESPACE
trinker,lexicon,NAMESPACE,NAMESPACE
trinker,numform,NAMESPACE,NAMESPACE
trinker,pax,NAMESPACE,NAMESPACE
trinker,textcorpus,NAMESPACE,NAMESPACE
trinker,gofastr,NAMESPACE,NAMESPACE
trinker,textstem,NAMESPACE,NAMESPACE
trinker,textcode,NAMESPACE,NAMESPACE
trinker,syllable,NAMESPACE,NAMESPACE
trinker,clustext,NAMESPACE,NAMESPACE
trinker,validateMake,NAMESPACE,NAMESPACE
trinker,termcoLite,NAMESPACE,NAMESPACE
trinker,pysty,NAMESPACE,NAMESPACE
trinker,shinyTurkTools,NAMESPACE,NAMESPACE
trinker,textcleanLite,NAMESPACE,NAMESPACE
trinker,kmeanstext,NAMESPACE,NAMESPACE
trinker,synonym,NAMESPACE,NAMESPACE
trinker,hclustext,NAMESPACE,NAMESPACE
trinker,textproj,NAMESPACE,NAMESPACE
trinker,rnltk,NAMESPACE,NAMESPACE
trinker,pathr,NAMESPACE,NAMESPACE
trinker,parser,NAMESPACE,NAMESPACE
trinker,textreport,NAMESPACE,NAMESPACE
trinker,hilight,NAMESPACE,NAMESPACE
trinker,readability,NAMESPACE,NAMESPACE
trinker,digit,NAMESPACE,NAMESPACE
trinker,wakefield,NAMESPACE,NAMESPACE
trinker,rdir,NAMESPACE,NAMESPACE
trinker,discon,NAMESPACE,NAMESPACE
trinker,regexusa,NAMESPACE,NAMESPACE
trinker,regextools,NAMESPACE,NAMESPACE
trinker,regexr,NAMESPACE,NAMESPACE
trinker,gtrend,NAMESPACE,NAMESPACE
trinker,pacmanDependencies,NAMESPACE,NAMESPACE
trinker,CAseriation,NAMESPACE,NAMESPACE
trinker,CAinterprTools,NAMESPACE,NAMESPACE
trinker,shortcut,NAMESPACE,NAMESPACE
trinker,qdapRegex,NAMESPACE,NAMESPACE
trinker,SOdemoing,NAMESPACE,NAMESPACE
trinker,mapit,NAMESPACE,NAMESPACE
trinker,BGmisc,NAMESPACE,NAMESPACE
trinker,embodied,NAMESPACE,NAMESPACE
trinker,sentDraw,NAMESPACE,NAMESPACE
trinker,qdapDictionaries,NAMESPACE,NAMESPACE
trinker,quantemp,NAMESPACE,NAMESPACE
trinker,reports,NAMESPACE,NAMESPACE
trinker,qdap2,NAMESPACE,NAMESPACE
trinker,plotflow,NAMESPACE,NAMESPACE
trinker,metaDAT,NAMESPACE,NAMESPACE
trinker,dummy,NAMESPACE,NAMESPACE
trinker,Regression,NAMESPACE,NAMESPACE
trinker,acc.ggplot2,NAMESPACE,NAMESPACE
trinker,acc.roxygen2,NAMESPACE,NAMESPACE
trinker,gmailR,NAMESPACE,NAMESPACE
trinker,talkstats,NAMESPACE,NAMESPACE
trinker,DIFdetect,NAMESPACE,NAMESPACE
trinker,hangman,NAMESPACE,NAMESPACE
trinker,pacman,NAMESPACE,NAMESPACE
