login_names,types,repo_counts
cran,Organization,9325
Bioconductor-mirror,Organization,1493
Libardo1,User,2
defc0n1,User,0
jeperez,User,0
chaabni,User,0
minghao2016,User,0
4sp1r3,User,0
namjae,User,0
radovankavicky,User,0
parthasen,User,3
mk-pmb,User,0
fxcebx,User,0
rmullig2,User,0
reichardn,User,0
fototo,User,0
jai2033shankar,User,0
fdoperezi,User,2
hrbrmstr,User,127
bin2000,User,0
TZstatsADS,Organization,1
rmody3,User,0
ropensci,Organization,206
Snazz2001,User,0
GarfieldEr007,User,0
plai217,User,0
ashispapu,User,0
dpastoor,User,26
akizzles,User,0
pauldevos,User,0
NHLBI-BCB,User,0
c3h3,User,3
kbroman,User,35
jpdebaere,User,0
jmheyd,User,0
Sage-Bionetworks,Organization,26
wycharry,User,0
muschellij2,User,74
fitrialif,User,0
Honglongwu,User,0
AshWilliams,User,0
M4573R,User,0
raincoatrun,User,0
guhjy,User,0
dominguezus,User,0
fmacias64,User,0
statkclee,User,0
saromanov,User,0
trinker,User,NA
junhuili,User,0
qlycool,User,0
anujmailbox,User,NA
woodhaha,User,0
hpaas001,User,0
krlmlr,User,NA
BioXiao,User,NA
hadley,User,NA
abresler,User,NA
sunatthegilddotcom,User,NA
MadStats,Organization,NA
ompanda,User,NA
udemirezen,User,0
gokul180288,User,NA
marcionicolau,User,7
nishantsbi,User,NA
mliq,User,0
MishaHerscu,User,0
quevedin,User,0
benmarwick,User,NA
jrnold,User,NA
johnfrye,User,NA
jaehyuk,User,0
gvanzin,User,NA
andori8,User,0
kibs86,User,NA
wush978,User,NA
abhik1368,User,2
yepengxj,User,NA
yangbenfa,User,NA
statwonk,User,6
imanojkumar,User,0
HSOFEUP,User,0
mjk276,User,NA
shamindras,User,2
Charlie13,User,NA
spark-lin,User,NA
datatonic,User,0
casunlight,User,0
NhaTrang,User,0
hehuanshu96,User,0
lymanzhang,User,NA
jmcimula,User,NA
parrondo,User,0
usfviz,Organization,NA
CT-Data-Collaborative,Organization,NA
jsta,User,21
MMesbahU,User,0
fdzul,User,1
govindmenon,User,0
lgatto,User,30
patilv,User,0
EqualInformation,User,0
noamross,User,21
leslie-huang,User,NA
ismayc,User,4
xkuang,User,0
cswanghan,User,0
sancao2,User,NA
sckott,User,71
joebrew,User,8
cpsievert,User,13
MarkEdmondson1234,User,175
reymont,User,0
karthik,User,NA
alfords,User,0
anilcs13m,User,NA
RaghavendranPM,User,0
tfang2,User,1
sxfmol,User,0
a414930249,User,0
kcompher,User,0
vzool,User,0
obinsc,User,0
ishandutta2007,User,1
QuantLet,Organization,0
willowcheng,User,0
irichgreen,User,9
pnandak,User,NA
pssguy,User,NA
chenwt,User,0
roterdam,User,0
lexqbit,User,0
Shicheng-Guo,User,2
bquast,User,NA
qiangqiangyao,User,0
ScienceForBI,Organization,0
snewhouse,User,NA
rstudio,Organization,NA
Cloud2016,User,NA
ivanliu1989,User,3
ttrahan,User,NA
leeper,User,30
christophergandrud,User,NA
tdhock,User,25
datacamp,Organization,NA
bimalvasan,User,NA
englianhu,User,0
nastako,User,NA
jtrecenti,User,NA
rpietro,User,0
aiedward,User,0
MainShayne233,User,0
mcnguyen,User,NA
Tavpritesh,User,0
cinneesol,User,0
gregory-nisbet,User,0
paultopia,User,0
esgl,User,0
asntech,User,0
sunsure,User,2
Planeshifter,User,8
feynman0825,User,0
ZmagoD,User,NA
bikash,User,2
mdsumner,User,53
drpjk,User,4
thsiung,User,0
aaronjoel,User,0
IndianOnRun,User,0
trestletech,User,17
wubr2000,User,0
yeomanbnu,User,0
dhimmel,User,1
rodriggs,User,0
facingsouth,User,0
obrianjunior,User,0
fmichonneau,User,NA
arhik,User,NA
jeroen,User,54
kevinushey,User,18
seankross,User,12
dambor,User,0
omarbenites,User,NA
juanlp,User,0
Robinlovelace,User,2
briatte,User,NA
teuffy,User,0
kmichie32,User,0
BeifeiZhou,User,0
chirayukong,User,1
Bioconductor,Organization,35
pjpan,User,NA
mheydt,User,0
wangtulao,User,1
abelsonlive,User,3
ropenscilabs,Organization,75
PhyloMeth,Organization,101
mzkaramat,User,0
wbuchanan,User,0
infinith4,User,3
noaxtogrind,User,0
Redwa,User,0
dtenenba,User,24
yngcan,User,3
vishwambhar,User,NA
jefferis,User,35
gragusa,User,6
fawda123,User,15
datamaniac03,User,0
olgabot,User,0
way2joy,User,0
tjmahr,User,14
rouseguy,User,0
ttriche,User,14
Peidyen,User,0
Bioinfo2015,Organization,1
AlKavaev,User,0
XMUR,Organization,0
jcrb,User,3
bbandaru,User,NA
naupaka,User,NA
delgad9,User,NA
patrickhsanders,User,0
fboehm,User,NA
aspiringguru,User,NA
henrywoo,User,0
kfowler,User,0
AnilSener,User,0
